Model,MAE,MSE,R2
LinearRegression,82657.9460589282,10549721686.161531,0.9146454505137886
RobustRegression,199465.5595542925,61664910393.24921,0.50108819907282
RidgeRegression,82659.67244409773,10549745186.670174,0.91464526037841
LassoRegression,82657.94662172231,10549717660.356379,0.9146454830853384
ElasticNet,99126.80843102593,15081376466.559593,0.8779812271613102
PolynomialRegression,83413.36424437718,10664698481.80059,0.9137152086661755
SGDRegressor,5.709325822290688e+17,3.326061373033687e+35,-2.6910138343381595e+24
ANN,199363.33018070366,61465357090.640816,0.5027027233938708
RandomForest,98276.27496433824,15111326753.62142,0.8777389086115708
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
